City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,magadan,59.5667,150.8,-22.06,84,63,5.32,RU,1702954054
83,aasiaat,68.7098,-52.8699,-12.54,85,100,10.66,GL,1702953954
84,port saint john's,-31.6229,29.5448,20.52,84,100,3.24,ZA,1702953954
85,mahriz,31.5917,54.4318,1.28,38,98,0.87,IR,1702953954
86,yamada,39.4667,141.95,2.89,53,100,0.78,JP,1702953954
87,dunedin,-45.8742,170.5036,18.29,70,100,5.01,NZ,1702953975
88,khandyga,62.6667,135.6,-41.76,97,100,0.71,RU,1702954055
89,fort bragg,35.139,-79.006,9.34,66,100,8.75,US,1702954055
90,shorewood,41.52,-88.2017,-4.39,70,0,5.66,US,1702953821
91,kidal,18.4411,1.4078,13.19,25,100,6.62,ML,1702954055
92,portland,45.5234,-122.6762,8.82,74,100,5.66,US,1702953508
93,san luis de la loma,17.2706,-100.8939,24.92,85,12,2.42,MX,1702953954
94,ust-nera,64.5667,143.2,-34.67,98,98,1.6,RU,1702954055
95,port alfred,-33.5906,26.891,17.88,99,99,3.08,ZA,1702954055
96,ilulissat,69.2167,-51.1,-9.99,67,75,8.23,GL,1702954055
97,whitby,54.4877,-0.615,10.17,84,100,1.34,GB,1702953954
98,haimen,23.1935,116.6142,17.94,62,0,4.18,CN,1702953955
99,al manshah,26.4769,31.8035,15.14,77,0,3.09,EG,1702953955
100,muravlenko,63.7898,74.523,-12.84,93,100,9.05,RU,1702954055
101,morant bay,17.8815,-76.4093,26.79,85,96,3.58,JM,1702953955
102,north bondi,-33.8824,151.2769,33.97,66,100,2.57,AU,1702953955
103,lebu,-37.6167,-73.65,11.77,84,9,7.22,CL,1702954055
104,pisco,-13.7,-76.2167,21.03,88,40,7.2,PE,1702954055
105,okhotsk,59.3833,143.3,-25.56,86,17,8.09,RU,1702954055
106,sredets,42.3475,27.179,1.06,74,0,1.29,BG,1702953955
107,whitehorse,60.7161,-135.0538,-12.33,87,20,1.34,CA,1702954055
108,vorgashor,67.5833,63.95,-14.56,87,100,5.55,RU,1702954056
109,olonkinbyen,70.9221,-8.7187,-3.56,69,100,3.73,SJ,1702954056
110,quezon,7.7303,125.0989,30.27,65,99,1.06,PH,1702953955
111,hadibu,12.65,54.0333,24.45,80,83,6.57,YE,1702953956
112,yanam,16.7333,82.2167,24.23,65,55,3.5,IN,1702953956
113,afif,23.9065,42.9172,11.23,42,58,3.9,SA,1702953956
114,nampula,-15.1165,39.2666,23.97,94,0,2.24,MZ,1702953956
115,kristiansund,63.1115,7.732,5.36,70,75,15.43,NO,1702954057
116,kargopol',61.5071,38.9456,-0.55,93,100,4.21,RU,1702953956
117,dabakala,8.3667,-4.4333,22.4,19,18,2.54,CI,1702953956
118,constantia,44.1833,28.65,2.61,75,6,3.47,RO,1702954057
119,sao desiderio,-12.3633,-44.9733,21.15,88,85,2.01,BR,1702953956
120,port elizabeth,-33.918,25.5701,16.84,91,80,1.54,ZA,1702954057
121,carloforte,39.145,8.3058,12.29,69,2,1.27,IT,1702953957
